OperationId,Person,RegAddrKoatuu,OperationCode,OperationName,DateReg,DepCode,DepartmentName,Brand,Model,Vin,MakeYear,Color,Kind,Body,Purpose,Fuel,Capacity,OwnWeight,TotalWeight,NumberRegNew
157,P,6121683303,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,08/17/2022 00:00:00,12349,ТСЦ 6141,FIAT,SCUDO,ZFA22000086073052,01/01/2004 00:00:00,БІЛИЙ,ЛЕГКОВИЙ,ВАНТАЖОПАСАЖИРСЬКИЙ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,1997,1525,2325,ВО8125ЕН
158,P,3221810100,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),09/21/2022 00:00:00,12290,ТСЦ 8041,CHEVROLET,LACETTI,Y6DNF35BE7K639209,01/01/2007 00:00:00,ЧОРНИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1799,1350,1650,КА2832ІМ
159,P,8038000000,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),11/01/2022 00:00:00,12231,ТСЦ 0543,HYUNDAI,ELANTRA,KMHDU41BP7U194511,01/01/2007 00:00:00,ФІОЛЕТОВИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1591,1460,1810,АВ3851КА
160,P,6821587001,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),06/28/2022 00:00:00,12372,ТСЦ 6842,АМС,750 СТАРКОНЬ,Y9MAMC750C0000083,01/01/2012 00:00:00,СИНІЙ,ПРИЧІП,ПР-БОРТОВИЙ,ЗАГАЛЬНИЙ,,0,245,750,ВХ2466ХF
161,P,6810400000,254,НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ,09/10/2022 00:00:00,10000,OLD_ДДАІ МВС УКРАЇНИ,FORD,FOCUS,WF04XXWPD47E15946,01/01/2007 00:00:00,ЧОРНИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1596,1270,1735,ВХ4160НА
162,P,6810400000,254,НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ,09/28/2022 00:00:00,10000,OLD_ДДАІ МВС УКРАЇНИ,FORD,FOCUS,WF04XXWPD47E15946,01/01/2007 00:00:00,ЧОРНИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1596,1270,1735,ВХ4160НА
163,P,1823186604,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,10/20/2022 00:00:00,12374,ТСЦ 6844,CHEVROLET,LACETTI,KL1NF196E7K655868,01/01/2007 00:00:00,СІРИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1598,1055,1505,ВХ4978НК
164,P,5324087702,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,11/08/2022 00:00:00,12335,ТСЦ 5346,ВАЗ,21093,XTA21093023093926,01/01/2001 00:00:00,СІРИЙ,ЛЕГКОВИЙ,ХЕТЧБЕК,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1499,970,1370,ВІ1774НР
165,P,8039100000,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,09/09/2022 00:00:00,12292,ТСЦ 8043,BMW,X1,WBAVM91080VT70013,01/01/2012 00:00:00,КОРИЧНЕВИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,БЕНЗИН,1997,1650,2140,АА1100МЕ
166,P,7422055100,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),06/02/2022 00:00:00,12371,ТСЦ 6841,FORD,FOCUS,WF05XXGCD57S78549,01/01/2007 00:00:00,ЧОРНИЙ,ЛЕГКОВИЙ,ХЕТЧБЕК,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1596,1312,1650,ВХ6725НЕ
167,P,6825281201,560,ЗНЯТТЯ З ОБЛІКУ ПРИ ПОВЕРНЕННІ ІЗ ПОЇЗДКИ ЗА КОРДОН ПО ДОРУЧ.,04/30/2022 00:00:00,12371,ТСЦ 6841,DAF,XF 95.480,XLRTE47XS0E693675,01/01/2005 00:00:00,БІЛИЙ,ВАНТАЖНИЙ,СІДЛОВИЙ ТЯГАЧ,СПЕЦІАЛІЗОВАНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,12580,7500,18000,ВХ9107ВН
168,P,4610137500,431,ПЕРЕРЕЄСТРАЦІЯ ТЗ ПРИ ВИДАЧІ ІНДИВІДУАЛЬНОГО НОМЕРНОГО ЗНАКУ,02/23/2022 00:00:00,12307,ТСЦ  4641,VOLKSWAGEN,CC,WVWZZZ3CZDE519986,01/01/2012 00:00:00,КОРИЧНЕВИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН,1798,1640,2320,КА2669НВ
169,P,7110136700,410,ПЕРЕРЕЄСТРАЦІЯ ПРИ ЗАМІНІ НОМЕРНОГО ЗНАКУ,07/07/2022 00:00:00,12377,ТСЦ 7141,HONDA,DIO 27,AF272359780,01/01/2000 00:00:00,ЧОРНИЙ,МОПЕД,МОПЕД,ЗАГАЛЬНИЙ,БЕНЗИН,49,150,300,СААС0018
170,P,2110100000,254,НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ,02/09/2022 00:00:00,10000,OLD_ДДАІ МВС УКРАЇНИ,CHEVROLET,LACETTI,Y6DNA48BE8K311714,01/01/2008 00:00:00,ЧОРНИЙ,ЛЕГКОВИЙ,ХЕТЧБЕК,ЗАГАЛЬНИЙ,БЕНЗИН,1799,1355,1705,АО0192НА
171,P,3525510100,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),08/19/2022 00:00:00,12395,ТСЦ 3545,ГАЗ-САЗ,3507,X9633090070923524,01/01/2007 00:00:00,БІЛИЙ,ВАНТАЖНИЙ,САМОСКИД,СПЕЦІАЛІЗОВАНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,4750,3940,7990,ВА7820ЕТ
172,P,1211000000,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),02/15/2022 00:00:00,12537,ТСЦ 1248,VOLKSWAGEN,CADDY,WV1ZZZ2KZ8X009190,01/01/2008 00:00:00,БІЛИЙ,ЛЕГКОВИЙ,ПАСАЖИРСЬКИЙ,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1984,1604,2270,АЕ0119ОК
173,P,6810800000,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,01/04/2022 00:00:00,12374,ТСЦ 6844,BMW,X5,WBAFB71010LX65421,01/01/2006 00:00:00,ЧОРНИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,2979,1990,2600,ВХ6330НС
174,P,6820910100,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,01/22/2022 00:00:00,12374,ТСЦ 6844,RENAULT,KANGOO,VF1FC07AF31719409,01/01/2004 00:00:00,БІЛИЙ,ЛЕГКОВИЙ,ПАСАЖИРСЬКИЙ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,1461,1130,1675,ВХ8815НС
175,P,3510645300,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,06/22/2022 00:00:00,12377,ТСЦ 7141,KAWASAKI,ER 500A,JKAER500ABA000858,01/01/1996 00:00:00,СИНІЙ,МОТОЦИКЛ,МОТОЦИКЛ,ЗАГАЛЬНИЙ,БЕНЗИН,499,193,375,СА0587JА
176,P,3522580901,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,10/06/2022 00:00:00,12298,ТСЦ 3541,KAWASAKI,ER 500A,JKAER500ABA000858,01/01/1996 00:00:00,СИНІЙ,МОТОЦИКЛ,МОТОЦИКЛ,ЗАГАЛЬНИЙ,БЕНЗИН,499,193,375,ВА0642JА
177,P,1424510400,254,НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ,11/05/2022 00:00:00,10000,OLD_ДДАІ МВС УКРАЇНИ,RENAULT,MEGANE,VF1BM1B0E36184590,01/01/2006 00:00:00,ЧОРНИЙ,ЛЕГКОВИЙ,ХЕТЧБЕК,ЗАГАЛЬНИЙ,БЕНЗИН,1598,1225,1775,АЕ8590ХА
178,P,5122083401,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),10/18/2022 00:00:00,13364,ТСЦ 5151,RENAULT,PREMIUM,VF625GPA000004941,01/01/2008 00:00:00,БІЛИЙ,ВАНТАЖНИЙ,СІДЛОВИЙ ТЯГАЧ,СПЕЦІАЛІЗОВАНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,10837,7600,19000,ВН0442РХ
179,P,6810100000,408,ПЕРЕРЕЄСТРАЦІЯ ПРИ ПЕРЕОБЛАДНАННІ БЕЗ ЗАМІНИ НОМЕРНИХ АГРЕГАТІВ,02/18/2022 00:00:00,12371,ТСЦ 6841,MERCEDES-BENZ,ATEGO 1223,WDB9702781K479621,01/01/2000 00:00:00,СИНІЙ,ВАНТАЖНИЙ,ФУРГОН,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,6374,5880,15980,ВХ0550АХ
180,P,1211000000,254,НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ,09/15/2022 00:00:00,10000,OLD_ДДАІ МВС УКРАЇНИ,NISSAN,PATHFINDER,VSKJVWR51U0433907,01/01/2011 00:00:00,СІРИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,2488,2225,2880,АЕ2009ЕО
181,P,6121611000,321,ПЕРЕРЕЄСТРАЦIЯ ТЗ НА НОВ. ВЛАС. ПО УСПАДКУВАННЮ ЗА ЗАПОВIТОМ ЧИ УСПАДКОВАНОМУ ДОГОВОРУ,05/25/2022 00:00:00,12353,ТСЦ 6145,RENAULT,TRAFIC,VF1FLBJB6AV379637,01/01/2010 00:00:00,БІЛИЙ,ЛЕГКОВИЙ,ПАСАЖИРСЬКИЙ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,2464,1862,3035,ВО7942ВВ
182,P,5110137500,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),02/16/2022 00:00:00,13747,ТСЦ 5152,HYUNDAI,IX35,KMHJU81BDBU183064,01/01/2010 00:00:00,ЧОРНИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1998,1500,2030,ВН8139РК
183,P,7121284801,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,07/06/2022 00:00:00,12379,ТСЦ 7143,DAEWOO,NEXIA,XWB3K32CDBA244369,01/01/2011 00:00:00,БЕЖЕВИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1598,1250,1550,СА2864ІО
184,P,6110100000,400,ПЕРЕРЕЄСТРАЦIЯ ПРИ ПЕРЕОБЛАДНАННI ДЛЯ РОБОТИ НА ГАЗОВОМУ ПАЛЬНОМУ,12/24/2022 00:00:00,12349,ТСЦ 6141,SUBARU,FORESTER,JF1SH5LS59G017753,01/01/2008 00:00:00,СІРИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1994,1434,1880,ВО2072ЕН
185,P,4623086801,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,11/23/2022 00:00:00,14147,ТСЦ 4649,FORD,FOCUS,WF0MXXGCBMCC18309,01/01/2012 00:00:00,БІЛИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1596,1511,2050,ВС3048РА
186,P,5610100000,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,01/12/2022 00:00:00,12337,ТСЦ 5641,AUDI,A6,WAUZZZ4AZTN020005,01/01/1996 00:00:00,СІРИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,2600,1360,2080,ВК1681НМ
187,P,3222481601,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,12/16/2022 00:00:00,12296,ТСЦ 8047,LAND ROVER,RANGE ROVER,SALLMAMH4CA389396,01/01/2012 00:00:00,ЧОРНИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,4367,2710,3200,КА0020СМ
188,P,722884803,230,ВИДАЧА СВ. ПРО РЕЄСТР ДЛЯ ПОЇЗДКИ ЗА КОРДОН,09/16/2022 00:00:00,12235,ТСЦ 0741,SCANIA,R500 B,XLER6X20005185370,01/01/2008 00:00:00,СИНІЙ,ВАНТАЖНИЙ,БОРТОВИЙ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,15607,11560,27500,АС3785НЕ
189,P,8036300000,254,НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ,09/16/2022 00:00:00,10000,OLD_ДДАІ МВС УКРАЇНИ,MITSUBISHI,OUTLANDER,JMBXTCW4WCU004108,01/01/2012 00:00:00,СІРИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,БЕНЗИН,1998,1535,2070,АА3363ВР
190,J,6821882101,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,04/05/2022 00:00:00,12372,ТСЦ 6842,RENAULT,TRAFIC,VF1FLBCB65V247218,01/01/2005 00:00:00,ЧЕРВОНИЙ,ЛЕГКОВИЙ,ПАСАЖИРСЬКИЙ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,1870,1800,2700,ВХ1892НЕ
191,P,7325083601,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),02/11/2022 00:00:00,12388,ТСЦ 7341,RENAULT,KANGOO,VF1FC0EAF16989596,01/01/1999 00:00:00,БІЛИЙ,ЛЕГКОВИЙ,ПАСАЖИРСЬКИЙ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,1870,1085,1835,СЕ4409ЕС
192,P,4611500000,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),07/08/2022 00:00:00,13466,ТСЦ 4648,FIAT,DUCATO,ZFA24400007751720,01/01/2006 00:00:00,БІЛИЙ,ВАНТАЖНИЙ,ФУРГОН,СПЕЦІАЛІЗОВАНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,2286,1913,3300,ВС9264ОХ
193,P,722883601,410,ПЕРЕРЕЄСТРАЦІЯ ПРИ ЗАМІНІ НОМЕРНОГО ЗНАКУ,09/20/2022 00:00:00,12235,ТСЦ 0741,VOLKSWAGEN,TOUAREG,WVGZZZ7LZ8Z000811,01/01/2008 00:00:00,ЧОРНИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,2967,1820,2400,АС4089ЕТ
194,P,4625855300,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,07/13/2022 00:00:00,12307,ТСЦ  4641,FIAT,DOBLO,ZFA22300005471573,01/01/2007 00:00:00,ЗЕЛЕНИЙ,ЛЕГКОВИЙ,ПАСАЖИРСЬКИЙ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,1910,1256,2010,ВС6885ОХ
195,P,5122781501,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,12/13/2022 00:00:00,12322,ТСЦ 5142,MITSUBISHI,OUTLANDER,JMBXRCU5W4U004004,01/01/2004 00:00:00,ЧЕРВОНИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,2378,1580,2070,ВН8658РХ
196,P,2625682901,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),11/09/2022 00:00:00,12276,ТСЦ 2641,DAEWOO,NUBIRA,KLAJF696EWK221074,01/01/1998 00:00:00,ЗЕЛЕНИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН,1598,1320,1720,АТ1704НР
197,P,2124480401,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,11/19/2022 00:00:00,12261,ТСЦ 2141,TOYOTA,CAMRY,JTNBE40K803145476,01/01/2007 00:00:00,СІРИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,2362,1520,1915,АО0106ЕО
198,P,4610900000,254,НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ,12/19/2022 00:00:00,10000,OLD_ДДАІ МВС УКРАЇНИ,MAZDA,CX-5,JMZKE897800126233,01/01/2012 00:00:00,СІРИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,БЕНЗИН,1998,1465,2045,ВС1792СТ
199,P,510136300,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),07/13/2022 00:00:00,12229,ТСЦ 0541,RENAULT,PREMIUM,VF622ACA000110846,01/01/2004 00:00:00,БІЛИЙ,ВАНТАЖНИЙ,ФУРГОН ІЗОТЕРМІЧНИЙ,СПЕЦІАЛІЗОВАНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,6180,8120,19000,АВ9774ІТ
200,P,6310136600,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,12/16/2022 00:00:00,12285,ТСЦ 3246,CHEVROLET,AVEO,KL1TA69EJCB113347,01/01/2012 00:00:00,ЧОРНИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1598,1223,1685,АІ8748ОТ
201,P,6310138200,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),12/20/2022 00:00:00,12323,ТСЦ 5143,AUDI,A6,WAUZZZ4G6DN040050,01/01/2012 00:00:00,БІЛИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН,1984,1640,2145,ВН2687РХ
202,P,6824783201,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),08/25/2022 00:00:00,12371,ТСЦ 6841,FORD,MONDEO,1FAFP66L3WK305781,01/01/1998 00:00:00,ЧЕРВОНИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН,2544,1250,1865,ВХ8016НЕ
203,J,6824287701,400,ПЕРЕРЕЄСТРАЦIЯ ПРИ ПЕРЕОБЛАДНАННI ДЛЯ РОБОТИ НА ГАЗОВОМУ ПАЛЬНОМУ,02/11/2022 00:00:00,12372,ТСЦ 6842,ЗАЗ,LANOS,Y6DTF55Y0C0003473,01/01/2012 00:00:00,БІЛИЙ,ЛЕГКОВИЙ,ПІКАП,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1498,1114,1595,ВХ9411ВН
204,P,4810400000,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),02/01/2022 00:00:00,12371,ТСЦ 6841,RENAULT,TRAFIC,VF1FLBBB54Y054803,01/01/2004 00:00:00,СИНІЙ,ЛЕГКОВИЙ,ПАСАЖИРСЬКИЙ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,1870,1765,2940,ВХ5977НЕ
205,P,6823985102,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,01/18/2022 00:00:00,12375,ТСЦ 6845,OPEL,COMBO,W0L0XCF2553045426,01/01/2005 00:00:00,СІРИЙ,ЛЕГКОВИЙ,ПАСАЖИРСЬКИЙ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,1686,1350,2055,ВХ4104НС
206,P,7122882401,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,08/20/2022 00:00:00,12295,ТСЦ 8046,NISSAN,TIIDA,3N1FCAC11UK563387,01/01/2012 00:00:00,СИНІЙ,ЛЕГКОВИЙ,ХЕТЧБЕК,ЗАГАЛЬНИЙ,БЕНЗИН,1598,1364,1785,КА9080ІА
207,P,8038600000,254,НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ,02/19/2022 00:00:00,10000,OLD_ДДАІ МВС УКРАЇНИ,NISSAN,TIIDA,3N1FCAC11UK563387,01/01/2012 00:00:00,СИНІЙ,ЛЕГКОВИЙ,ХЕТЧБЕК,ЗАГАЛЬНИЙ,БЕНЗИН,1598,1364,1785,АА5933РВ
208,P,6310100000,254,НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ,08/31/2022 00:00:00,10000,OLD_ДДАІ МВС УКРАЇНИ,AUDI,ALLROAD,WAUZZZ4BX4N068177,01/01/2004 00:00:00,ЧОРНИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,БЕНЗИН,2671,1910,2465,АХ6073СР
209,P,3222210100,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,10/21/2022 00:00:00,12295,ТСЦ 8046,TOYOTA,COROLLA,NMTBZ20E50R127697,01/01/2006 00:00:00,СІРИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1598,1190,1655,КА8578ІВ
210,P,8038000000,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,11/26/2022 00:00:00,12292,ТСЦ 8043,HONDA,CIVIC,SHHFN23607U004588,01/01/2007 00:00:00,СІРИЙ,ЛЕГКОВИЙ,ХЕТЧБЕК,ЗАГАЛЬНИЙ,БЕНЗИН,1998,1338,1700,КА6292ІК
211,P,4810136300,254,НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ,11/10/2022 00:00:00,10000,OLD_ДДАІ МВС УКРАЇНИ,HONDA,JAZZ,JHMGD18905S286641,01/01/2005 00:00:00,СІРИЙ,ЛЕГКОВИЙ,ХЕТЧБЕК,ЗАГАЛЬНИЙ,БЕНЗИН,1339,940,1470,ВЕ0553ВС
212,P,5123755300,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),02/15/2022 00:00:00,13362,ТСЦ 5150,BMW,735I,WBAGG41010DN63449,01/01/2000 00:00:00,СІРИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,3430,1550,2100,ВН0740РО
213,P,6822487101,340,ПЕРЕРЕЄСТРАЦIЯ У ЗВ`ЯЗКУ ЗI ЗМIНОЮ АНКЕТНИХ ДАНИХ ВЛАСНИКА(БЕЗ ЗМІНИ РЕГІОНУ РЕЄСТРАЦІЇ),12/14/2022 00:00:00,12373,ТСЦ 6843,OPEL,ASTRA,W0L0AHL4872059502,01/01/2006 00:00:00,СІРИЙ,ЛЕГКОВИЙ,ХЕТЧБЕК,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,1248,1320,1820,ВХ9638ВН
214,P,3525582501,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,11/22/2022 00:00:00,12395,ТСЦ 3545,SKODA,OCTAVIA A5,TMBCK41ZXDB150235,01/01/2012 00:00:00,БЕЖЕВИЙ,ЛЕГКОВИЙ,ХЕТЧБЕК,ЗАГАЛЬНИЙ,БЕНЗИН,1798,1325,1985,ВА8212ЕХ
215,P,1412900000,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,01/06/2022 00:00:00,12250,ТСЦ 1443,HYUNDAI,IX35,TMAJU81BDCJ316870,01/01/2012 00:00:00,ЧОРНИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1998,1560,2030,АН6535ОТ
