OperationId,Person,RegAddrKoatuu,OperationCode,OperationName,DateReg,DepCode,DepartmentName,Brand,Model,Vin,MakeYear,Color,Kind,Body,Purpose,Fuel,Capacity,OwnWeight,TotalWeight,NumberRegNew
113,J,7124989001,350,ПЕРЕРЕЄСТРАЦIЯ У ЗВ`ЯЗКУ ЗI ЗМIНОЮ НАЗВИ ОРГАНIЗАЦIЇ,10/26/2022 00:00:00,12377,ТСЦ 7141,БОГДАН,А-09202,Y7BA092028B000543,01/01/2008 00:00:00,ЖОВТИЙ,АВТОБУС,АВТОБУС,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,4570,5300,8230,СА1107АА
114,P,6822455800,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),01/27/2022 00:00:00,12373,ТСЦ 6843,NISSAN,PRIMASTAR,VSKF4ABA5UY554870,01/01/2004 00:00:00,БІЛИЙ,ВАНТАЖНИЙ,ФУРГОН,СПЕЦІАЛІЗОВАНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,1870,1752,2700,ВХ0535НЕ
115,P,5625410100,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,08/13/2022 00:00:00,12339,ТСЦ 5643,VOLKSWAGEN,PASSAT,WVWZZZ3CZCP073202,01/01/2012 00:00:00,ЧОРНИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,1968,1560,2130,ВК7487НХ
116,P,8038900000,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,11/22/2022 00:00:00,12293,ТСЦ 8044,TOYOTA,RAV4,JTMBE31V40D081566,01/01/2012 00:00:00,ЧОРНИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,БЕНЗИН,1987,1690,2100,КА1938ІК
117,P,3510100000,254,НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ,09/10/2022 00:00:00,10000,OLD_ДДАІ МВС УКРАЇНИ,HYUNDAI,GENESIS COUPE,KMHHT61DBCU084105,01/01/2012 00:00:00,ЧЕРВОНИЙ,ЛЕГКОВИЙ,КУПЕ,ЗАГАЛЬНИЙ,БЕНЗИН,1998,1525,2025,ВА4468АА
118,J,6810100000,350,ПЕРЕРЕЄСТРАЦIЯ У ЗВ`ЯЗКУ ЗI ЗМIНОЮ НАЗВИ ОРГАНIЗАЦIЇ,08/18/2022 00:00:00,12372,ТСЦ 6842,ГАЗ,32213-14,32210060216689,01/01/2005 00:00:00,БІЛИЙ,АВТОБУС,МІКРОАВТОБУС,ЗАГАЛЬНИЙ,БЕНЗИН,2285,2150,3500,ВХ7036НЕ
119,P,522687801,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),11/26/2022 00:00:00,12231,ТСЦ 0543,HONDA,CR-V,SHSRE6850BU007511,01/01/2011 00:00:00,КОРИЧНЕВИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,2204,1782,2202,АВ0377ІТ
120,P,3221055600,560,ЗНЯТТЯ З ОБЛІКУ ПРИ ПОВЕРНЕННІ ІЗ ПОЇЗДКИ ЗА КОРДОН ПО ДОРУЧ.,08/10/2022 00:00:00,12285,ТСЦ 3246,SUBARU,OUTBACK,JF1BR9L95BG083939,01/01/2011 00:00:00,СІРИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,БЕНЗИН,2457,1495,2040,АІ3134СО
121,P,1821780401,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,02/12/2022 00:00:00,12295,ТСЦ 8046,AUDI,Q7,WAUZZZ4L0DD006995,01/01/2012 00:00:00,ЧОРНИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,2967,2418,2950,КА7500НР
122,P,8038900000,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),07/20/2022 00:00:00,12285,ТСЦ 3246,BMW,X5,5YMGY0C5XALK25810,01/01/2009 00:00:00,СИНІЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,БЕНЗИН,4395,2300,2800,АІ5868ОР
